recId;searchText;country
1;Saint-Petersburg, Malaya Morskaya 12;RUS
2;Saint-Petersburg, Krasnogo Kursanta 19;RUS
3;Saint-Petersburg, Pionerskaya 16;RUS
4;Saint-Petersburg, Zverinskaya 17;RUS
5;Saint-Petersburg, Blagoeva 9;RUS
6;Saint-Petersburg, Levashovskij 22;RUS
7;Saint-Petersburg, Korpusnaya 18;RUS
8;Saint-Petersburg, Bol'shaya Zelenina 19;RUS
9;Saint-Petersburg, Millionnaya 25;RUS
10;Saint-Petersburg, Volynskij 4;RUS
11;Saint-Petersburg, Dekabristov 11;RUS
12;Saint-Petersburg, Fonarnyj 12;RUS
13;Saint-Petersburg, Griboedova 82;RUS
14;Saint-Petersburg, Vitebskaya 9;RUS
15;Saint-Petersburg, Pskovskaya 22;RUS
16;Saint-Petersburg, Sadovaya 125;RUS
17;Saint-Petersburg, Lomonosova 3;RUS
18;Saint-Petersburg, Gorohovaya 48;RUS
19;Saint-Petersburg, 2-ya Krasnoarmejskaya 13;RUS
20;Saint-Petersburg, 12-ya Krasnoarmejskaya 17;RUS
21;Saint-Petersburg, Ural'skaya 13;RUS
22;Saint-Petersburg, ZHeleznovodskaya 48;RUS
23;Saint-Petersburg, ZHeleznovodskaya 15;RUS
24;Saint-Petersburg, Pravdy 8;RUS
25;Saint-Petersburg, Baltijskaya 22;RUS
26;Saint-Petersburg, Oboronnaya 4;RUS
27;Saint-Petersburg, Ligovskij 291;RUS
28;Saint-Petersburg, ZHukovskogo 24;RUS
29;Saint-Petersburg, Nekrasova 25;RUS
30;Saint-Petersburg, Ligovskij 11;RUS
31;Saint-Petersburg, Vyborgskaya 12;RUS
32;Saint-Petersburg, CHugunnaya 20;RUS
33;Saint-Petersburg, Bol'shoj Sampsonievskij 62;RUS
34;Saint-Petersburg, Lanskaya 10;RUS
35;Saint-Petersburg, Omskaya 23;RUS
36;Saint-Petersburg, Lanskoe 2;RUS
